"Port-level Imports"
"Current date: 12/03/2019 11:34 PM (Eastern Standard Time)"
"Country: World Total"
"Measures: Customs Value (Gen) ($US)"
"Time","Commodity","Customs Value (Gen) ($US)",
"January 2003","Total","951,096"
"January 2003","283691 Lithium Carbonates","951,096"
"February 2003","Total","1,330,520"
"February 2003","283691 Lithium Carbonates","1,330,520"
"March 2003","Total","718,109"
"March 2003","283691 Lithium Carbonates","718,109"
"April 2003","Total","2,335,519"
"April 2003","283691 Lithium Carbonates","2,335,519"
"May 2003","Total","985,901"
"May 2003","283691 Lithium Carbonates","985,901"
"June 2003","Total","1,608,922"
"June 2003","283691 Lithium Carbonates","1,608,922"
"July 2003","Total","1,904,092"
"July 2003","283691 Lithium Carbonates","1,904,092"
"August 2003","Total","1,658,930"
"August 2003","283691 Lithium Carbonates","1,658,930"
"September 2003","Total","1,729,285"
"September 2003","283691 Lithium Carbonates","1,729,285"
"October 2003","Total","1,027,781"
"October 2003","283691 Lithium Carbonates","1,027,781"
"November 2003","Total","685,347"
"November 2003","283691 Lithium Carbonates","685,347"
"December 2003","Total","3,074,029"
"December 2003","283691 Lithium Carbonates","3,074,029"
"January 2004","Total","684,666"
"January 2004","283691 Lithium Carbonates","684,666"
"February 2004","Total","927,996"
"February 2004","283691 Lithium Carbonates","927,996"
"March 2004","Total","2,171,679"
"March 2004","283691 Lithium Carbonates","2,171,679"
"April 2004","Total","2,025,253"
"April 2004","283691 Lithium Carbonates","2,025,253"
"May 2004","Total","1,275,115"
"May 2004","283691 Lithium Carbonates","1,275,115"
"June 2004","Total","2,257,220"
"June 2004","283691 Lithium Carbonates","2,257,220"
"July 2004","Total","3,976,834"
"July 2004","283691 Lithium Carbonates","3,976,834"
"August 2004","Total","3,039,103"
"August 2004","283691 Lithium Carbonates","3,039,103"
"September 2004","Total","1,717,790"
"September 2004","283691 Lithium Carbonates","1,717,790"
"October 2004","Total","2,563,771"
"October 2004","283691 Lithium Carbonates","2,563,771"
"November 2004","Total","2,324,319"
"November 2004","283691 Lithium Carbonates","2,324,319"
"December 2004","Total","3,613,433"
"December 2004","283691 Lithium Carbonates","3,613,433"
"January 2005","Total","2,604,442"
"January 2005","283691 Lithium Carbonates","2,604,442"
"February 2005","Total","1,761,103"
"February 2005","283691 Lithium Carbonates","1,761,103"
"March 2005","Total","2,120,298"
"March 2005","283691 Lithium Carbonates","2,120,298"
"April 2005","Total","2,367,900"
"April 2005","283691 Lithium Carbonates","2,367,900"
"May 2005","Total","1,799,846"
"May 2005","283691 Lithium Carbonates","1,799,846"
"June 2005","Total","3,309,781"
"June 2005","283691 Lithium Carbonates","3,309,781"
"July 2005","Total","2,862,448"
"July 2005","283691 Lithium Carbonates","2,862,448"
"August 2005","Total","2,111,959"
"August 2005","283691 Lithium Carbonates","2,111,959"
"September 2005","Total","2,515,332"
"September 2005","283691 Lithium Carbonates","2,515,332"
"October 2005","Total","1,474,656"
"October 2005","283691 Lithium Carbonates","1,474,656"
"November 2005","Total","3,046,699"
"November 2005","283691 Lithium Carbonates","3,046,699"
"December 2005","Total","1,997,063"
"December 2005","283691 Lithium Carbonates","1,997,063"
"January 2006","Total","3,428,041"
"January 2006","283691 Lithium Carbonates","3,428,041"
"February 2006","Total","1,995,456"
"February 2006","283691 Lithium Carbonates","1,995,456"
"March 2006","Total","4,131,741"
"March 2006","283691 Lithium Carbonates","4,131,741"
"April 2006","Total","2,096,660"
"April 2006","283691 Lithium Carbonates","2,096,660"
"May 2006","Total","4,834,726"
"May 2006","283691 Lithium Carbonates","4,834,726"
"June 2006","Total","3,248,963"
"June 2006","283691 Lithium Carbonates","3,248,963"
"July 2006","Total","2,035,565"
"July 2006","283691 Lithium Carbonates","2,035,565"
"August 2006","Total","3,527,403"
"August 2006","283691 Lithium Carbonates","3,527,403"
"September 2006","Total","2,285,463"
"September 2006","283691 Lithium Carbonates","2,285,463"
"October 2006","Total","3,249,790"
"October 2006","283691 Lithium Carbonates","3,249,790"
"November 2006","Total","2,463,214"
"November 2006","283691 Lithium Carbonates","2,463,214"
"December 2006","Total","4,368,154"
"December 2006","283691 Lithium Carbonates","4,368,154"
"January 2007","Total","2,575,202"
"January 2007","283691 Lithium Carbonates","2,575,202"
"February 2007","Total","5,408,135"
"February 2007","283691 Lithium Carbonates","5,408,135"
"March 2007","Total","1,847,697"
"March 2007","283691 Lithium Carbonates","1,847,697"
"April 2007","Total","6,971,534"
"April 2007","283691 Lithium Carbonates","6,971,534"
"May 2007","Total","1,808,718"
"May 2007","283691 Lithium Carbonates","1,808,718"
"June 2007","Total","6,786,923"
"June 2007","283691 Lithium Carbonates","6,786,923"
"July 2007","Total","516,081"
"July 2007","283691 Lithium Carbonates","516,081"
"August 2007","Total","5,900,704"
"August 2007","283691 Lithium Carbonates","5,900,704"
"September 2007","Total","3,884,099"
"September 2007","283691 Lithium Carbonates","3,884,099"
"October 2007","Total","3,035,309"
"October 2007","283691 Lithium Carbonates","3,035,309"
"November 2007","Total","5,377,518"
"November 2007","283691 Lithium Carbonates","5,377,518"
"December 2007","Total","10,781,427"
"December 2007","283691 Lithium Carbonates","10,781,427"
"January 2008","Total","2,058,744"
"January 2008","283691 Lithium Carbonates","2,058,744"
"February 2008","Total","10,443,604"
"February 2008","283691 Lithium Carbonates","10,443,604"
"March 2008","Total","6,050,681"
"March 2008","283691 Lithium Carbonates","6,050,681"
"April 2008","Total","7,348,337"
"April 2008","283691 Lithium Carbonates","7,348,337"
"May 2008","Total","4,241,092"
"May 2008","283691 Lithium Carbonates","4,241,092"
"June 2008","Total","5,359,835"
"June 2008","283691 Lithium Carbonates","5,359,835"
"July 2008","Total","5,145,590"
"July 2008","283691 Lithium Carbonates","5,145,590"
"August 2008","Total","3,424,977"
"August 2008","283691 Lithium Carbonates","3,424,977"
"September 2008","Total","5,664,851"
"September 2008","283691 Lithium Carbonates","5,664,851"
"October 2008","Total","7,088,345"
"October 2008","283691 Lithium Carbonates","7,088,345"
"November 2008","Total","6,266,551"
"November 2008","283691 Lithium Carbonates","6,266,551"
"December 2008","Total","6,998,025"
"December 2008","283691 Lithium Carbonates","6,998,025"
"January 2009","Total","7,103,850"
"January 2009","283691 Lithium Carbonates","7,103,850"
"February 2009","Total","3,031,514"
"February 2009","283691 Lithium Carbonates","3,031,514"
"March 2009","Total","3,860,685"
"March 2009","283691 Lithium Carbonates","3,860,685"
"April 2009","Total","3,096,944"
"April 2009","283691 Lithium Carbonates","3,096,944"
"May 2009","Total","8,569,080"
"May 2009","283691 Lithium Carbonates","8,569,080"
"June 2009","Total","2,373,107"
"June 2009","283691 Lithium Carbonates","2,373,107"
"July 2009","Total","244,900"
"July 2009","283691 Lithium Carbonates","244,900"
"August 2009","Total","2,630,255"
